path_filename,base_filename,package
betafit_lf.ado,betafit_lf.ado,betafit
betareg_lf.ado,betareg_lf.ado,betafit
betafit_p.ado,betafit_p.ado,betafit
beta4.ado,beta4.ado,betafit
beta4.hlp,beta4.hlp,betafit
betaprior.ado,betaprior.ado,betaprior
betaprior.sthlp,betaprior.sthlp,betaprior
betterbar.ado,betterbar.ado,betterbar
betterbar.sthlp,betterbar.sthlp,betterbar
betterbarci.ado,betterbarci.ado,betterbar
betterbarci.sthlp,betterbarci.sthlp,betterbar
bfmcorr.ado,bfmcorr.ado,bfmcorr
bfmcorr.sthlp,bfmcorr.sthlp,bfmcorr
../p/postbfm.ado,postbfm.ado,bfmcorr
../p/postbfm.sthlp,postbfm.sthlp,bfmcorr
bgshade.ado,bgshade.ado,bgshade
bgshade.sthlp,bgshade.sthlp,bgshade
bgtest.ado,bgtest.ado,bgtest
bgtest.hlp,bgtest.hlp,bgtest
bhapkar.ado,bhapkar.ado,bhapkar
bhapkar.sthlp,bhapkar.sthlp,bhapkar
bhapkari.ado,bhapkari.ado,bhapkar
bhapkari.sthlp,bhapkari.sthlp,bhapkar
../v/vision.dta,vision.dta,bhapkar
bhatt.ado,bhatt.ado,bhatt
bhatt.sthlp,bhatt.sthlp,bhatt
biasepi.sthlp,biasepi.sthlp,biasepi
biascon.ado,biascon.ado,biasepi
biascon.sthlp,biascon.sthlp,biasepi
biasconi.ado,biasconi.ado,biasepi
biasconi.sthlp,biasconi.sthlp,biasepi
biasselect.ado,biasselect.ado,biasepi
biasselect.sthlp,biasselect.sthlp,biasepi
biasselecti.ado,biasselecti.ado,biasepi
biasselecti.sthlp,biasselecti.sthlp,biasepi
biassurv.sthlp,biassurv.sthlp,biasepi
biassurvi.ado,biassurvi.ado,biasepi
biassurvi.sthlp,biassurvi.sthlp,biasepi
biasmis.ado,biasmis.ado,biasepi
biasmis.sthlp,biasmis.sthlp,biasepi
biasmisi.ado,biasmisi.ado,biasepi
biasmisi.sthlp,biasmisi.sthlp,biasepi
biastab2.ado,biastab2.ado,biasepi
biastab2.sthlp,biastab2.sthlp,biasepi
bibrep.ado,bibrep.ado,bibrep
bibrep.sthlp,bibrep.sthlp,bibrep
bic.ado,bic.ado,bic
bic.hlp,bic.hlp,bic
bicdrop1.ado,bicdrop1.ado,bicdrop1
bicdrop1.hlp,bicdrop1.hlp,bicdrop1
bidensity.ado,bidensity.ado,bidensity
bidensity.sthlp,bidensity.sthlp,bidensity
bigtab.ado,bigtab.ado,bigtab
bigtab.hlp,bigtab.hlp,bigtab
bihist.ado,bihist.ado,bihist
bihist.hlp,bihist.hlp,bihist
bimap.ado,bimap.ado,bimap
bimap.sthlp,bimap.sthlp,bimap
bineq.ado,bineq.ado,bineq
bineqdiff.ado,bineqdiff.ado,bineq
bineq.sthlp,bineq.sthlp,bineq
binscatter.ado,binscatter.ado,binscatter
binscatter.sthlp,binscatter.sthlp,binscatter
binscatterhist.ado,binscatterhist.ado,binscatterhist
binscatterhist.sthlp,binscatterhist.sthlp,binscatterhist
